2453737.5000000000	-28185706.3870000000	131436346.6500000000	57280778.9570000000	-29339267.0290000000	131743287.4700000000	56445524.7360000000	-27129553.8080000000	132170251.6200000000	57182868.2560000000
2453738.0000000000	-29443178.9190000000	131199912.5000000000	57177498.0200000000	-30616707.2980000000	131493654.8200000000	56355783.0900000000	-28398126.2970000000	131942162.3100000000	57062456.7460000000
2453738.5000000000	-30698353.9090000000	130953526.2100000000	57069747.7060000000	-31891512.6850000000	131233753.6500000000	56261746.3250000000	-29664765.4650000000	131703789.1700000000	56937629.8090000000
2453739.0000000000	-31951141.2730000000	130697205.7300000000	56957536.2340000000	-33163581.0010000000	130963609.8100000000	56163422.4720000000	-30929366.0990000000	131455143.1500000000	56808399.0290000000
2453739.5000000000	-33201451.1300000000	130430969.5300000000	56840872.1530000000	-34432810.2990000000	130683250.1300000000	56060819.9060000000	-32191823.0750000000	131196236.3500000000	56674776.2170000000
2453740.0000000000	-34449193.7870000000	130154836.5600000000	56719764.3410000000	-35699098.8900000000	130392702.3700000000	55953947.3500000000	-33452031.3740000000	130927081.9700000000	56536773.4020000000
2453740.5000000000	-35694279.7230000000	129868826.3000000000	56594222.0000000000	-36962345.3490000000	130091995.2700000000	55842813.8570000000	-34709886.1030000000	130647694.2400000000	56394402.8280000000
2453741.0000000000	-36936619.5680000000	129572958.7700000000	56464254.6580000000	-38222448.5250000000	129781158.5200000000	55727428.8150000000	-35965282.5280000000	130358088.4800000000	56247676.9480000000
2453741.5000000000	-38176124.0900000000	129267254.4900000000	56329872.1710000000	-39479307.5560000000	129460222.7700000000	55607801.9300000000	-37218116.1100000000	130058281.0400000000	56096608.4280000000
2453742.0000000000	-39412704.1780000000	128951734.5400000000	56191084.7280000000	-40732821.8790000000	129129219.6100000000	55483943.2280000000	-38468282.5410000000	129748289.2800000000	55941210.1560000000
2453742.5000000000	-40646270.8300000000	128626420.5400000000	56047902.8450000000	-41982891.2410000000	128788181.6200000000	55355863.0430000000	-39715677.7760000000	129428131.6000000000	55781495.2550000000
2453743.0000000000	-41876735.1440000000	128291334.6200000000	55900337.3770000000	-43229415.7120000000	128437142.2700000000	55223572.0140000000	-40960198.0580000000	129097827.4000000000	55617477.0970000000
2453743.5000000000	-43104008.3040000000	127946499.4800000000	55748399.5130000000	-44472295.7010000000	128076136.0400000000	55087081.0760000000	-42201739.9420000000	128757397.1300000000	55449169.3180000000
2453744.0000000000	-44328001.5790000000	127591938.3500000000	55592100.7810000000	-45711431.9620000000	127705198.3200000000	54946401.4570000000	-43440200.3050000000	128406862.2200000000	55276585.8310000000
